# Sample, end sample (0 for same), instrument, note, difficulty
706, 0, horn, a, 0  #Honk

# First part strings
4424, 0, strings, 1, 3 # 1-2-3-4
4717.25, 0, strings, 2, 3
5010.5, 0, strings, 3, 3
5303.75, 0, strings, 4, 3
5597, 0, strings, 5, 3 # 1-2-3
5885.25, 0, strings, 3, 3
6173.5, 0, strings, 5, 3
#gap
6750, 0, strings, 5, 3 # 1-2-3
7032.75, 0, strings, 3, 3
7315.5, 0, strings, 5, 3
#gap
7881, 0, strings, 5, 3 # 1-2-3
8169.25, 0, strings, 3, 3
8457.5, 0, strings, 5, 3
#gap
9034, 0, strings, 1, 3 # 1-2-3-4
9320.5, 0, strings, 2, 3
9607.0, 0, strings, 3, 3
9893.5, 0, strings, 4, 3
10180, 0, strings, 5, 3
10454.25, 0, strings, 3, 3
10728.5, 0, strings, 5, 3
11002.75, 0, strings, 5, 3
11277, 0, strings, 3, 3
11561.75, 0, strings, 5, 3
11846.5, 0, strings, 5, 3
12131.25, 0, strings, 3, 3
12416, 500, strings, 5, 3

# Horns for the same first part
4424, 0, horn, a, 0
5010.5, 0, horn, d, 1
5597, 0, horn, a, 0
6173.5, 0, horn, d, 1
6750, 0, horn, a, 0
7315.5, 0, horn, d, 1
7881, 0, horn, a, 0
8457.5, 0, horn, d, 1
9034, 0, horn, a, 0
9607.0, 0, horn, d, 1
10180, 0, horn, a, 0
10728.5, 0, horn, d, 1
11277, 0, horn, q, 0
11846.5, 0, horn, e, 1
12416, 0, horn, q, 0
12985.5, 0, horn, e, 1

13526, 0, strings, 1, 0 # 1-2-3-4
13799.5, 0, strings, 2, 2
14073.0, 0, strings, 3, 1
14346.5, 0, strings, 4, 2
14620, 0, strings, 5, 0 # 1-2-3
14897, 0, strings, 3, 2
15174, 0, strings, 5, 1
#gap
15728, 0, strings, 5, 0 # 1-2-3
16006.25, 0, strings, 3, 2
16284.5, 0, strings, 5, 1
#gap
16841, 0, strings, 5, 0 # 1-2-3
17124.25, 0, strings, 3, 2
17407.5, 0, strings, 5, 1
#gap
17974, 0, strings, 1, 0 # 1-2-3-4
18247.25, 0, strings, 2, 2
18520.5, 0, strings, 3, 1
18793.75, 0, strings, 4, 2
19067.0, 0, strings, 5, 0
19340.25, 0, strings, 3, 2
19613.5, 0, strings, 5, 1
19886.75, 0, strings, 5, 2
20160.0, 0, strings, 3, 0
20433.25, 0, strings, 5, 2
20706.5, 0, strings, 5, 1
20979.75, 0, strings, 3, 2
21253, 500, strings, 5, 0

13526, 0, horn, a, 2
14073.0, 0, horn, d, 3
14620, 0, horn, a, 2
15174, 0, horn, d, 3
15728, 0, horn, a, 2
16284.5, 0, horn, d, 3
16841, 0, horn, a, 2
17407.5, 0, horn, d, 3
17974, 0, horn, a, 2
18520.5, 0, horn, d, 3
19067.0, 0, horn, a, 2
19613.5, 0, horn, d, 3
20160.0, 0, horn, q, 2
20706.5, 0, horn, e, 3
21253, 0, horn, q, 2
21799.5, 500, horn, e, 3

#Next passage, slightly higher
22362.0, 0, strings, 2, 0
22635.5, 0, strings, 3, 2
22909.0, 0, strings, 4, 1
23182.5, 0, strings, 5, 2
23456.0, 0, strings, 6, 0
23733.0, 0, strings, 4, 2
24010.0, 0, strings, 6, 1
#gap
24564.0, 0, strings, 6, 0
24842.25, 0, strings, 4, 2
25120.5, 0, strings, 6, 1
#gap
25677.0, 0, strings, 6, 0
25960.25, 0, strings, 4, 2
26243.5, 0, strings, 6, 1
#gap
26810.0, 0, strings, 2, 0
27083.25, 0, strings, 3, 2
27356.5, 0, strings, 4, 1
27629.75, 0, strings, 5, 2
27903.0, 0, strings, 6, 0
28176.25, 0, strings, 4, 2
28449.5, 0, strings, 6, 1
#gap
28996.0, 0, strings, 6, 0
29269.25, 0, strings, 4, 2
29542.5, 0, strings, 6, 1
#gap
30089.0, 500, strings, 3, 0

22362.0, 0, horn, a, 2
22909.0, 0, horn, d, 3
23456.0, 0, horn, a, 2
24010.0, 0, horn, d, 3
24564.0, 0, horn, a, 2
25120.5, 0, horn, d, 3
25677.0, 0, horn, a, 2
26243.5, 0, horn, d, 3
26810.0, 0, horn, a, 2
27356.5, 0, horn, d, 3
27903.0, 0, horn, a, 2
28449.5, 0, horn, d, 3
28996.0, 0, horn, q, 2
29542.5, 0, horn, e, 3
30089.0, 0, horn, q, 2
30635.5, 500, horn, e, 3

#Repeat that bit
#Next passage, slightly higher
31241.0, 0, strings, 2, 0
31514.5, 0, strings, 3, 2
31788.0, 0, strings, 4, 1
32061.5, 0, strings, 5, 2
